"filename", "language", "Ignore", "JSON with Comments", "MS SQL", "JavaScript", "JSON", "Markdown", "HTML", "YAML", "JavaScript JSX", "Docker", "CSV", "CSS", "Properties", "XML", "comment", "blank", "total"
"c:\Ministerra\.cursorignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Ministerra\.eslintrc.json", "JSON with Comments", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Ministerra\CHAT_SYSTEM_ANALYSIS.md", "Markdown", 0, 0, 0, 0, 0, 549, 0, 0, 0, 0, 0, 0, 0, 0, 0, 203, 752
"c:\Ministerra\SCALING_FIXES_IMPLEMENTATION.md", "Markdown", 0, 0, 0, 0, 0, 350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 463
"c:\Ministerra\backend\.eslintrc.json", "JSON with Comments", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Ministerra\backend\.github\workflows\main.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 10, 60
"c:\Ministerra\backend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 8, 26
"c:\Ministerra\backend\README-event-interests.md", "Markdown", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 80
"c:\Ministerra\backend\app.js", "JavaScript", 0, 0, 0, 1071, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 155, 1370
"c:\Ministerra\backend\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 640, 0, 0, 0, 0, 0, 0, 43, 37, 720
"c:\Ministerra\backend\docs\logging-overview.md", "Markdown", 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 161
"c:\Ministerra\backend\docs\mysql-read-replica.md", "Markdown", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 55
"c:\Ministerra\backend\modules\Chat\chatHelpers.js", "JavaScript", 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 144
"c:\Ministerra\backend\modules\Chat\messageHandlers.js", "JavaScript", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18, 85
"c:\Ministerra\backend\modules\Chat\quickQueries.js", "JavaScript", 0, 0, 0, 270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 29, 322
"c:\Ministerra\backend\modules\Chat\seenSync.js", "JavaScript", 0, 0, 0, 209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29, 239
"c:\Ministerra\backend\modules\alerts.js", "JavaScript", 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 114
"c:\Ministerra\backend\modules\chat.js", "JavaScript", 0, 0, 0, 439, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 64, 540
"c:\Ministerra\backend\modules\content.js", "JavaScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 54
"c:\Ministerra\backend\modules\discussion.js", "JavaScript", 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 14, 134
"c:\Ministerra\backend\modules\editor.js", "JavaScript", 0, 0, 0, 346, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 46, 426
"c:\Ministerra\backend\modules\entrance.js", "JavaScript", 0, 0, 0, 456, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 53, 535
"c:\Ministerra\backend\modules\event.js", "JavaScript", 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 19, 124
"c:\Ministerra\backend\modules\foundation.js", "JavaScript", 0, 0, 0, 270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 42, 343
"c:\Ministerra\backend\modules\gallery.js", "JavaScript", 0, 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 17, 209
"c:\Ministerra\backend\modules\images.js", "JavaScript", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19, 118
"c:\Ministerra\backend\modules\interests.js", "JavaScript", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 83
"c:\Ministerra\backend\modules\invites.js", "JavaScript", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 97
"c:\Ministerra\backend\modules\jwtokens.js", "JavaScript", 0, 0, 0, 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 30, 243
"c:\Ministerra\backend\modules\locations.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Ministerra\backend\modules\mailing.js", "JavaScript", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 69
"c:\Ministerra\backend\modules\rating.js", "JavaScript", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 77
"c:\Ministerra\backend\modules\report.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 24
"c:\Ministerra\backend\modules\search.js", "JavaScript", 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 106
"c:\Ministerra\backend\modules\setup\index.js", "JavaScript", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 18, 132
"c:\Ministerra\backend\modules\setup\sanitize.js", "JavaScript", 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 194
