Date : 2025-11-23 20:18:16
Directory : c:\Ministerra
Total : 278 files,  60717 codes, 2134 comments, 4792 blanks, all 67643 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         27 |     17,194 |          0 |         36 |     17,230 |
| JavaScript         |         90 |     15,554 |        960 |      2,204 |     18,718 |
| JavaScript JSX     |         78 |     14,655 |        989 |      1,319 |     16,963 |
| CSS                |          4 |      6,671 |         46 |        418 |      7,135 |
| Markdown           |         27 |      2,476 |          0 |        616 |      3,092 |
| XML                |         15 |      2,088 |          0 |         15 |      2,103 |
| YAML               |         14 |      1,091 |         45 |        119 |      1,255 |
| CSV                |         10 |        784 |          0 |          0 |        784 |
| JSON with Comments |          3 |         72 |          0 |          3 |         75 |
| Properties         |          5 |         63 |          6 |         25 |         94 |
| Docker             |          2 |         36 |          7 |         15 |         58 |
| HTML               |          1 |         17 |          0 |          3 |         20 |
| MS SQL             |          1 |         16 |         80 |         18 |        114 |
| Ignore             |          1 |          0 |          1 |          1 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                            |        278 |     60,717 |      2,134 |      4,792 |     67,643 |
| . (Files)                                                                                                    |          8 |      1,369 |         84 |        348 |      1,801 |
| backend                                                                                                      |         97 |     24,130 |        869 |      1,985 |     26,984 |
| backend (Files)                                                                                              |         11 |     11,974 |        195 |        248 |     12,417 |
| backend\.github                                                                                              |          1 |         50 |          0 |         10 |         60 |
| backend\.github\workflows                                                                                    |          1 |         50 |          0 |         10 |         60 |
| backend\docs                                                                                                 |          2 |        150 |          0 |         66 |        216 |
| backend\modules                                                                                              |         25 |      3,910 |        258 |        536 |      4,704 |
