"filename", "language", "JSON", "JavaScript", "Markdown", "YAML", "JavaScript JSX", "MS SQL", "HTML", "CSS", "Properties", "comment", "blank", "total"
"c:\Ministerra\.cursor\rules\comments.mdc", "Markdown", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 8, 19
"c:\Ministerra\.cursor\rules\general\RULE.md", "Markdown", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Ministerra\.cursor\rules\ministerra.mdc", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 8, 18
"c:\Ministerra\backend\TODO.md", "Markdown", 0, 0, 148, 0, 0, 0, 0, 0, 0, 0, 74, 222
"c:\Ministerra\backend\app.js", "JavaScript", 0, -1013, 0, 0, 0, 0, 0, 0, 0, -80, -138, -1231
"c:\Ministerra\backend\cluster\primary.js", "JavaScript", 0, 173, 0, 0, 0, 0, 0, 0, 0, 29, 16, 218
"c:\Ministerra\backend\cluster\worker.js", "JavaScript", 0, 241, 0, 0, 0, 0, 0, 0, 0, 48, 33, 322
"c:\Ministerra\backend\docker-compose.yml", "YAML", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 41
"c:\Ministerra\backend\docs\logging-overview.md", "Markdown", 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, -2
"c:\Ministerra\backend\eslint.config.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 3, 4, 45
"c:\Ministerra\backend\migrations\002_device_key.sql", "MS SQL", 0, 0, 0, 0, 0, 3, 0, 0, 0, 6, 4, 13
"c:\Ministerra\backend\migrations\2025-12-06_event_feedback.sql", "MS SQL", 0, 0, 0, 0, 0, 28, 0, 0, 0, 1, 3, 32
"c:\Ministerra\backend\modules\Chat\chatHelpers.js", "JavaScript", 0, -155, 0, 0, 0, 0, 0, 0, 0, -8, -25, -188
"c:\Ministerra\backend\modules\Chat\messageHandlers.js", "JavaScript", 0, -57, 0, 0, 0, 0, 0, 0, 0, -3, -14, -74
