"filename", "language", "Markdown", "JSON", "JSON with Comments", "MS SQL", "Ignore", "JavaScript", "YAML", "Docker", "JavaScript JSX", "CSV", "HTML", "CSS", "Properties", "XML", "comment", "blank", "total"
"c:\Ministerra\.cursor\rules\comments.mdc", "Markdown", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 19
"c:\Ministerra\.cursor\rules\general\RULE.md", "Markdown", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Ministerra\.cursor\rules\ministerra.mdc", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18
"c:\Ministerra\.cursorignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Ministerra\.eslintrc.json", "JSON with Comments", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Ministerra\CHAT_SYSTEM_ANALYSIS.md", "Markdown", 549, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 203, 752
"c:\Ministerra\SCALING_FIXES_IMPLEMENTATION.md", "Markdown", 350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 463
"c:\Ministerra\backend\.eslintrc.json", "JSON with Comments", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Ministerra\backend\.github\workflows\main.yml", "YAML", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 10, 60
"c:\Ministerra\backend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 3, 8, 26
"c:\Ministerra\backend\README-event-interests.md", "Markdown", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 80
"c:\Ministerra\backend\TODO.md", "Markdown", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 222
"c:\Ministerra\backend\app.js", "JavaScript", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 63, 22, 173
"c:\Ministerra\backend\cluster\primary.js", "JavaScript", 0, 0, 0, 0, 0, 173, 0, 0, 0, 0, 0, 0, 0, 0, 29, 16, 218
